2026-09-20 16:21:05,113 INFO     run_e023  run run_e023 -> logs/run_e023-2026-09-20-162105.log
2026-09-20 16:21:05,113 INFO     run_e023  config {"layer": 5, "model": "meta-llama/Llama-3.1-8B", "n_chains": 30, "n_tokens": 4, "note": "greedy decode vs ranked answer; edit applied per decoding step", "pool": 75, "thread": "T-066", "ticket": "E-023"}
2026-09-20 16:21:05,113 INFO     run_e023  30 chains, greedy 4 tokens, baseline and edited
2026-09-20 16:21:11,183 WARNING  remote  transport failure (NNsightException) during 273 base, attempt 1/8; retrying in 5s
2026-09-20 16:21:21,237 WARNING  remote  transport failure (NNsightException) during 273 base, attempt 1/8; retrying in 5s
2026-09-20 16:21:39,067 WARNING  remote  transport failure (NNsightException) during 273 base, attempt 1/8; retrying in 5s
2026-09-20 16:21:49,226 WARNING  remote  transport failure (NNsightException) during 273 base, attempt 1/8; retrying in 5s
2026-09-20 16:21:59,149 WARNING  remote  transport failure (NNsightException) during 273 real, attempt 1/8; retrying in 5s
2026-09-20 16:22:09,744 WARNING  remote  transport failure (NNsightException) during 273 real, attempt 1/8; retrying in 5s
2026-09-20 16:22:20,756 WARNING  remote  transport failure (NNsightException) during 273 real, attempt 1/8; retrying in 5s
2026-09-20 16:22:32,765 WARNING  remote  transport failure (NNsightException) during 273 real, attempt 1/8; retrying in 5s
2026-09-20 16:22:44,145 WARNING  remote  transport failure (NNsightException) during 342 base, attempt 1/8; retrying in 5s
2026-09-20 16:22:54,529 WARNING  remote  transport failure (NNsightException) during 342 base, attempt 1/8; retrying in 5s
2026-09-20 16:23:04,729 WARNING  remote  transport failure (NNsightException) during 342 base, attempt 1/8; retrying in 5s
2026-09-20 16:23:14,300 WARNING  remote  transport failure (NNsightException) during 342 base, attempt 1/8; retrying in 5s
2026-09-20 16:23:24,813 WARNING  remote  transport failure (NNsightException) during 342 real, attempt 1/8; retrying in 5s
2026-09-20 16:23:37,381 WARNING  remote  transport failure (NNsightException) during 342 real, attempt 1/8; retrying in 5s
2026-09-20 16:23:50,475 WARNING  remote  transport failure (NNsightException) during 342 real, attempt 1/8; retrying in 5s
2026-09-20 16:24:04,324 WARNING  remote  transport failure (NNsightException) during 342 real, attempt 1/8; retrying in 5s
2026-09-20 16:24:15,241 WARNING  remote  transport failure (NNsightException) during 345 base, attempt 1/8; retrying in 5s
2026-09-20 16:24:25,080 WARNING  remote  transport failure (NNsightException) during 345 base, attempt 1/8; retrying in 5s
